0:0:0:0:0:0:0:1 - - [31/Dec/2022:17:32:51 -0500] "GET / HTTP/1.1" 200 11239
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET / HTTP/1.1" 200 11239
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /tomcat.svg HTTP/1.1" 200 67795
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /tomcat.css HTTP/1.1" 200 5542
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /bg-button.png HTTP/1.1" 200 713
192.168.205.1 - - [31/Dec/2022:17:35:39 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.205.1 - - [31/Dec/2022:17:35:41 -0500] "GET /manager/html HTTP/1.1" 401 2499
192.168.205.1 - tomcat [31/Dec/2022:17:35:50 -0500] "GET /manager/html HTTP/1.1" 200 21985
192.168.205.1 - - [31/Dec/2022:17:35:50 -0500] "GET /manager/images/tomcat.svg HTTP/1.1" 200 67795
192.168.205.1 - - [31/Dec/2022:17:35:50 -0500] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
192.168.205.1 - - [31/Dec/2022:17:35:50 -0500] "GET /manager/css/manager.css HTTP/1.1" 200 2806
192.168.205.1 - - [31/Dec/2022:17:36:01 -0500] "GET /Maven-App-1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/Dec/2022:17:38:45 -0500] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [31/Dec/2022:17:40:09 -0500] "GET / HTTP/1.1" 200 11239
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET / HTTP/1.1" 200 11239
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /tomcat.css HTTP/1.1" 200 5542
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /tomcat.svg HTTP/1.1" 200 67795
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /bg-button.png HTTP/1.1" 200 713
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
192.168.205.1 - - [31/Dec/2022:20:25:37 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.205.1 - - [31/Dec/2022:20:25:41 -0500] "GET /manager/html HTTP/1.1" 401 2499
192.168.205.1 - tomcat [31/Dec/2022:20:25:57 -0500] "GET /manager/html HTTP/1.1" 200 20180
192.168.205.1 - - [31/Dec/2022:20:25:57 -0500] "GET /manager/css/manager.css HTTP/1.1" 200 2806
192.168.205.1 - - [31/Dec/2022:20:25:57 -0500] "GET /manager/images/tomcat.svg HTTP/1.1" 200 67795
192.168.205.1 - - [31/Dec/2022:20:25:57 -0500] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
192.168.205.1 - tomcat [31/Dec/2022:20:27:03 -0500] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=5505C7754EAE64865C6F42B460BCBADE HTTP/1.1" 200 20240
192.168.205.1 - - [31/Dec/2022:20:27:12 -0500] "GET /Maven-TestApp-2/ HTTP/1.1" 200 57
192.168.205.1 - - [31/Dec/2022:20:27:22 -0500] "GET /Maven-App-1/ HTTP/1.1" 200 57
